,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,0.0,0.0,66.66666666666666,16.666666666666664,0.0,0.1894788295030594,1.4435882568359375,16.366666666666667,0.07800286303015903
2-3,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.28869861364364624,0.2906684875488281,21.699999999999996,0.07730166849559457
2-5,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.35778860449790956,0.97401123046875,18.573333333333334,0.07739038593640804
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4001249521970749,0.6807225545247396,19.53333333333333,0.07734301167287776
2-9,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2488432116806507,0.2610893249511719,17.825000000000003,0.07732686049345742
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261383223036925,0.9753901163736979,18.666666666666668,0.07857699964455067
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20594303806622824,0.41325124104817706,19.2,0.0778877902946263
2-15,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.2578042596578598,0.22942733764648438,19.933333333333334,0.07729648992196837
3-1,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.3026314042508602,0.24877889221534133,18.525,0.07733604028386977
3-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.25546378195285796,0.38491394370794296,20.78666666666667,0.07810020176066873
3-5,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.26526298746466637,0.4130574092268944,17.008333333333333,0.07835843062855567
3-7,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.2517690062522888,0.5152419209480286,19.46666666666667,0.07822903288171647
3-9,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.23870507876078287,0.320749893784523,16.07777777777778,0.07802074987496903
3-11,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.1621080867946148,0.6331255972385407,19.126666666666665,0.07769720402756178
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.19004632905125618,0.29208984375,18.513333333333332,0.07811590192252643
3-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.32088679671287534,0.3556340843439102,22.34,0.07820786465616787
Avg,72.91666666666666,1.0416666666666665,1.0416666666666665,0.0,10.416666666666664,2.083333333333333,12.499999999999998,0.2623086377202223,0.5269837584133105,18.97767361111111,0.07782446847035487
