,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5790799856185913,0.1853485107421875,22.166666666666668,0.0882056474144218
2-3,16.666666666666664,0.0,0.0,16.666666666666664,50.0,0.0,16.666666666666664,0.4075745642185211,0.950927734375,20.666666666666668,0.0785978850379187
2-5,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.4772024552027384,0.3796183268229167,21.62222222222222,0.0773868429209098
2-7,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.5896319150924683,0.345794677734375,23.566666666666663,0.0775887399130546
2-9,0.0,0.0,50.0,0.0,33.33333333333333,0.0,16.666666666666664,,,,0.0775651098959122
2-11,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.308987632393837,0.5005035400390625,23.333333333333336,0.0787013268090814
2-13,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.463856965303421,0.2325388590494791,21.8,0.0778685927044849
2-15,33.33333333333333,0.0,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,0.7089295089244843,1.7854156494140625,22.166666666666664,0.0775890588565111
3-1,33.33333333333333,0.0,0.0,0.0,50.0,16.666666666666664,0.0,0.3006037771701813,0.5974581241607666,26.78333333333333,0.077547926550095
3-3,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.3072848170995712,0.1349571906030178,22.75555555555556,0.0780119921799007
3-5,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.4603134840726852,0.5099707096815109,22.416666666666664,0.0790086710386683
3-7,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.0792448410079752
3-9,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,50.0,,,,0.0781004285362857
3-11,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.0,33.33333333333333,0.377117782831192,1.0987855195999146,20.566666666666663,0.0779973944185279
3-13,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.3591431478659312,0.326672022539545,21.01111111111111,0.0774639443553627
3-15,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.0,50.0,0.2149165421724319,0.1136764883995056,25.73333333333333,0.0784338617813314
Avg,26.041666666666664,0.0,12.499999999999996,1.0416666666666665,40.62500000000001,1.0416666666666665,18.749999999999996,0.42728019830508107,0.5508974887047188,22.66068376068376,0.07870701646377759
