,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.7761272192001343,1.11859130859375,28.266666666666666,0.08030450864271683
2-3,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.4959144691626231,0.5412648518880209,24.36666666666667,0.0787912957512047
2-5,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.442748486995697,0.1231231689453125,20.766666666666666,0.07727936971260627
2-7,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.07738776643464701
2-9,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,,,,0.07736439149356583
2-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5225998361905416,1.2573191324869792,22.322222222222223,0.07867994735825737
2-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5769017189741135,0.7497291564941406,22.358333333333334,0.07799552024875393
2-15,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.49078701436519623,0.316192626953125,21.25,0.07734088249686003
3-1,0.0,0.0,0.0,0.0,66.66666666666666,16.666666666666664,16.666666666666664,,,,0.07716131679487143
3-3,66.66666666666666,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.46652714908123016,1.4171020090579987,23.858333333333334,0.07769186992560868
3-5,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.48503032326698303,0.3995971083641052,22.833333333333332,0.07828392000220355
3-7,0.0,0.0,33.33333333333333,0.0,50.0,16.666666666666664,0.0,,,,0.0776065179400225
3-9,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.07754021458476357
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.07700373299409066
3-13,33.33333333333333,0.0,50.0,0.0,0.0,0.0,16.666666666666664,0.448297381401062,1.2120725838467479,24.133333333333333,0.07682614814330249
3-15,33.33333333333333,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.3071654886007309,0.434335857629776,24.166666666666664,0.07696105660618963
Avg,23.95833333333333,0.0,11.458333333333332,0.0,32.291666666666664,4.166666666666666,28.124999999999996,,,,0.07776365369560403
