,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.7761272192001343,1.11859130859375,28.266666666666666,0.0803045086427168
2-3,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.4959144691626231,0.5412648518880209,24.36666666666667,0.0787912957512047
2-5,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.442748486995697,0.1231231689453125,20.766666666666666,0.0772793697126062
2-7,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.077387766434647
2-9,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,,,,0.0773643914935658
2-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5225998361905416,1.2573191324869792,22.322222222222223,0.0786799473582573
2-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5769017189741135,0.7497291564941406,22.35833333333333,0.0779955202487539
2-15,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.4907870143651962,0.316192626953125,21.25,0.07734088249686
3-1,0.0,0.0,0.0,0.0,66.66666666666666,16.666666666666664,16.666666666666664,,,,0.0771613167948714
3-3,66.66666666666666,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.4665271490812301,1.4171020090579989,23.85833333333333,0.0776918699256086
3-5,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.485030323266983,0.3995971083641052,22.83333333333333,0.0782839200022035
3-7,0.0,0.0,33.33333333333333,0.0,50.0,16.666666666666664,0.0,,,,0.0776065179400225
3-9,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.0775402145847635
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.0770037329940906
3-13,33.33333333333333,0.0,50.0,0.0,0.0,0.0,16.666666666666664,0.448297381401062,1.212072583846748,24.133333333333333,0.0768261481433024
3-15,33.33333333333333,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.3071654886007309,0.434335857629776,24.166666666666664,0.0769610566061896
Avg,23.958333333333332,0.0,11.458333333333332,0.0,32.291666666666664,4.166666666666666,28.125,0.5012099087238312,0.7569327804259955,23.432222222222222,0.077763653695604
