,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,50.0,33.33333333333333,16.666666666666664,,,,0.0779714710804639
2-3,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.41336286813020706,0.967681884765625,24.558333333333334,0.07799338379638086
2-5,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.4428696533044179,0.7933553059895834,22.244444444444444,0.0781049893452571
2-7,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.3754909634590149,0.6416880289713541,26.055555555555554,0.07799136553975669
2-9,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.5908181369304657,0.4149932861328125,22.549999999999997,0.07770551670748106
2-11,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.6226388812065125,3.1246109008789062,21.633333333333333,0.07903343446637526
2-13,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.5408834417661031,1.9078470865885417,21.7,0.07866725679171288
2-15,33.33333333333333,0.0,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,0.5030704885721207,0.9773635864257812,22.066666666666666,0.07761935403842908
3-1,33.33333333333333,0.0,16.666666666666664,0.0,50.0,0.0,0.0,0.4252808392047882,2.8099067211151123,26.733333333333334,0.0775028516201222
3-3,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.3507605890432994,1.5779861211776733,24.244444444444444,0.07863236472540694
3-5,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.36725445091724396,0.8082199431955814,23.683333333333334,0.07828450183335103
3-7,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.22583446403344473,1.2470326274633408,23.5,0.07789085510580297
3-9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.07748036141964787
3-11,16.666666666666664,16.666666666666664,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.47362950444221497,0.2886938452720642,25.266666666666666,0.07740360995133717
3-13,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.30175766348838806,0.7877459228038788,24.700000000000003,0.07782913614589966
3-15,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.5207363963127136,0.9495551586151123,27.533333333333335,0.07796098332292994
Avg,36.45833333333333,1.0416666666666665,13.541666666666664,0.0,36.45833333333333,3.1249999999999996,9.374999999999998,,,,0.07800446474314715
