,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,0.0,66.66666666666666,16.666666666666664,,,,0.0793850592059813
2-3,0.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,50.0,,,,0.0792402111986285
2-5,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5396278003851572,1.5531667073567708,21.155555555555555,0.0795371705058655
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515265276034673,0.3274815877278645,22.772222222222226,0.0800611347598038
2-9,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.5584692001342774,0.7039093017578125,22.166666666666668,0.0798716617945232
2-11,50.0,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.400817980368932,0.7531534830729166,20.4,0.0814138806384542
2-13,50.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.5820436974366506,1.7423553466796875,22.288888888888888,0.080461126190048
2-15,33.33333333333333,0.0,16.666666666666664,0.0,0.0,50.0,0.0,0.3986628353595733,0.8999404907226562,20.35,0.0798173578901323
3-1,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,,,,0.0797372060915876
3-3,33.33333333333333,50.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3593929633498192,1.391961306333542,21.4,0.0836318415573914
3-5,33.33333333333333,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,0.4662704169750213,1.4860132783651352,25.03333333333333,0.0848922713437064
3-7,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.3101073652505874,1.7200014293193815,24.633333333333333,0.0831966502692109
3-9,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,0.2966305911540985,0.314218521118164,24.9,0.0830419934286697
3-11,66.66666666666666,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.3523472510278225,0.989931675605476,23.53333333333333,0.0821902553240458
3-13,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.291159525513649,0.2540493806203206,25.23333333333333,0.0808956672172595
3-15,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.311974823474884,0.7517566084861755,20.244444444444444,0.0795116024147417
Avg,40.625,5.208333333333332,7.291666666666665,1.0416666666666665,9.374999999999998,21.874999999999996,14.583333333333332,0.4091562290795338,0.9913799320896849,22.623931623931625,0.08105531811437813
