,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,50.0,0.0,50.0,0.0,0.0,,,,0.10899762931622957
2-3,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.4743277579545975,1.5595779418945312,23.1,0.10613590102710697
2-5,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.0,50.0,,,,0.10797917164066093
2-7,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.7014331221580505,0.68499755859375,24.7,0.11339404055688593
2-9,33.33333333333333,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,0.5105259567499161,1.0113601684570312,24.46666666666667,0.11008928101057512
2-11,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.3558851480484009,0.1105499267578125,21.5,0.1065859024042196
2-13,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.38998053471247357,0.6537272135416666,20.466666666666665,0.10653098741420931
2-15,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.44247127572695416,1.93231201171875,24.644444444444446,0.10756921391006712
3-1,0.0,16.666666666666664,0.0,0.0,50.0,33.33333333333333,0.0,,,,0.10659125807073502
3-3,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.5665891766548157,5.266085624694824,23.466666666666665,0.10580159133335329
3-5,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.3900897651910782,1.0192783772945404,23.333333333333336,0.10554938014742848
3-7,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.17165274173021317,0.8152056038379669,22.416666666666664,0.11027839111559319
3-9,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.20779955387115479,0.2324579805135727,24.5,0.11100104257105504
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.11107358475795878
3-13,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.38124844431877136,0.949798583984375,21.466666666666665,0.11062356064912025
3-15,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.3002618650595347,0.7157434324423472,23.311111111111114,0.11072132174874465
Avg,23.95833333333333,1.0416666666666665,9.375,1.0416666666666665,39.58333333333333,2.083333333333333,22.916666666666664,,,,0.10868264110462146
