,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,16.666666666666664,50.0,16.666666666666664,,,,0.07975556387896837
2-3,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.08189167839320585
2-5,50.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.48348913590113324,0.6959584554036459,21.666666666666668,0.08097676509746894
2-7,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.48648571223020554,0.6864013671875,21.999999999999996,0.08171071264853326
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.5549771428108216,1.15361328125,23.873333333333335,0.08147037593767172
2-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5656207501888275,1.867523193359375,22.055555555555554,0.08428670091238635
2-13,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.4763100743293762,0.9205169677734375,22.288888888888888,0.08724500103203973
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387050782640775,0.9505030314127604,22.17777777777778,0.07880013305562178
3-1,0.0,0.0,0.0,0.0,16.666666666666664,66.66666666666666,16.666666666666664,,,,0.07894269241187027
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38650735716025036,1.2435040324926376,23.96111111111111,0.07967065139643259
3-5,33.33333333333333,0.0,0.0,0.0,0.0,50.0,16.666666666666664,0.3072112649679184,1.0869661271572113,24.55,0.0797976931111228
3-7,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.44640013575553894,1.5154728554189205,21.775,0.07998253773563765
3-9,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,,,,0.07956298666662479
3-11,50.0,0.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.4454376796881358,1.738020220771432,22.45555555555556,0.07924727587291568
3-13,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,50.0,0.34825578331947327,0.9026513695716858,24.233333333333334,0.07941925064209969
3-15,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.28511760632197064,0.2794896860917409,24.133333333333336,0.07918895342770745
Avg,44.791666666666664,1.0416666666666665,6.249999999999998,0.0,16.666666666666664,15.624999999999998,15.624999999999996,,,,0.08074681076376919
